scenerio,teamCode,firstSimulatedId,madePlayoffs,round2,round3,round4,wonCup,firstOverall,points,wonDivision,draftLottery,wildcard1Odds,wildcard2Odds,divisionPlace2Odds,divisionPlace3Odds,round1Winin4,round1Winin5,round1Winin6,round1Winin7,round1Lossin4,round1Lossin5,round1Lossin6,round1Lossin7,round2Winin4,round2Winin5,round2Winin6,round2Winin7,round2Lossin4,round2Lossin5,round2Lossin6,round2Lossin7,round3Winin4,round3Winin5,round3Winin6,round3Winin7,round3Lossin4,round3Lossin5,round3Lossin6,round3Lossin7,round4Winin4,round4Winin5,round4Winin6,round4Winin7,round4Lossin4,round4Lossin5,round4Lossin6,round4Lossin7
ALL,BOS,2019020010,0.6122,0.312,0.156,0.078,0.039,0.043,94.7,0.165,0.022,0.072,0.064,0.162,0.149,0.039,0.08,0.096,0.096,0.039,0.075,0.093,0.093,0.02,0.041,0.047,0.048,0.02,0.039,0.048,0.049,0.011,0.019,0.024,0.024,0.009,0.019,0.024,0.025,0.005,0.009,0.013,0.012,0.005,0.01,0.012,0.012
WINREG,BOS,2019020010,0.6364,0.322,0.161,0.08,0.04,0.051,95.6,0.18,0.02,0.072,0.063,0.169,0.152,0.041,0.083,0.099,0.098,0.039,0.079,0.1,0.097,0.02,0.042,0.049,0.048,0.023,0.039,0.049,0.05,0.01,0.02,0.024,0.026,0.011,0.02,0.026,0.024,0.006,0.009,0.013,0.011,0.006,0.01,0.012,0.011
LOSSOT,BOS,2019020010,0.6106,0.309,0.155,0.079,0.039,0.038,94.5,0.157,0.022,0.075,0.067,0.16,0.153,0.04,0.073,0.099,0.097,0.039,0.076,0.092,0.093,0.017,0.036,0.046,0.054,0.02,0.038,0.048,0.048,0.013,0.016,0.026,0.024,0.008,0.018,0.026,0.024,0.005,0.01,0.011,0.013,0.004,0.009,0.012,0.014
WINOT,BOS,2019020010,0.6405,0.328,0.162,0.082,0.04,0.049,95.5,0.184,0.02,0.069,0.066,0.163,0.158,0.038,0.093,0.1,0.098,0.041,0.078,0.097,0.096,0.022,0.043,0.048,0.049,0.021,0.041,0.051,0.052,0.015,0.018,0.024,0.026,0.01,0.023,0.022,0.025,0.005,0.01,0.013,0.012,0.006,0.012,0.013,0.012
LOSSREG,BOS,2019020010,0.5847,0.3,0.15,0.075,0.039,0.036,93.7,0.15,0.024,0.071,0.064,0.156,0.144,0.038,0.076,0.092,0.094,0.037,0.071,0.087,0.09,0.019,0.04,0.046,0.045,0.017,0.039,0.047,0.047,0.01,0.02,0.024,0.022,0.008,0.018,0.023,0.025,0.005,0.009,0.013,0.012,0.004,0.01,0.01,0.011
ALL,MTL,2019020008,0.59,0.295,0.148,0.075,0.038,0.042,94.0,0.153,0.024,0.071,0.066,0.154,0.145,0.039,0.077,0.091,0.088,0.038,0.074,0.092,0.091,0.019,0.037,0.045,0.046,0.018,0.036,0.047,0.044,0.009,0.02,0.024,0.023,0.01,0.018,0.023,0.022,0.005,0.01,0.012,0.011,0.005,0.01,0.011,0.012
WINREG,MTL,2019020008,0.6211,0.309,0.153,0.078,0.039,0.05,95.1,0.173,0.022,0.072,0.067,0.163,0.147,0.041,0.082,0.095,0.091,0.038,0.078,0.098,0.097,0.018,0.038,0.048,0.049,0.02,0.037,0.052,0.047,0.01,0.019,0.026,0.023,0.011,0.018,0.022,0.024,0.006,0.01,0.011,0.012,0.005,0.011,0.011,0.013
LOSSOT,MTL,2019020008,0.587,0.293,0.144,0.075,0.037,0.042,94.0,0.15,0.024,0.075,0.073,0.15,0.139,0.037,0.076,0.093,0.087,0.038,0.074,0.093,0.089,0.02,0.036,0.043,0.046,0.021,0.036,0.048,0.043,0.009,0.02,0.023,0.023,0.009,0.014,0.025,0.021,0.007,0.009,0.012,0.01,0.004,0.01,0.011,0.011
WINOT,MTL,2019020008,0.6239,0.305,0.156,0.075,0.04,0.055,95.2,0.173,0.021,0.071,0.064,0.163,0.153,0.04,0.084,0.089,0.092,0.041,0.081,0.099,0.099,0.021,0.04,0.043,0.052,0.02,0.043,0.044,0.042,0.009,0.018,0.024,0.024,0.012,0.021,0.024,0.024,0.006,0.01,0.013,0.012,0.005,0.009,0.01,0.011
LOSSREG,MTL,2019020008,0.5608,0.283,0.144,0.074,0.037,0.034,93.0,0.134,0.027,0.07,0.065,0.148,0.144,0.037,0.072,0.088,0.086,0.036,0.07,0.086,0.086,0.019,0.037,0.045,0.043,0.016,0.035,0.044,0.043,0.009,0.02,0.022,0.023,0.008,0.018,0.023,0.021,0.004,0.01,0.012,0.01,0.005,0.009,0.012,0.012
ALL,COL,2019020011,0.5756,0.293,0.148,0.074,0.038,0.036,92.8,0.158,0.027,0.059,0.061,0.149,0.15,0.039,0.074,0.091,0.088,0.036,0.072,0.088,0.086,0.019,0.037,0.046,0.046,0.019,0.037,0.045,0.044,0.01,0.019,0.023,0.022,0.01,0.018,0.024,0.022,0.005,0.01,0.011,0.011,0.005,0.009,0.012,0.011
WINREG,COL,2019020011,0.6004,0.304,0.154,0.077,0.04,0.043,93.7,0.172,0.025,0.059,0.061,0.154,0.154,0.039,0.077,0.097,0.091,0.036,0.076,0.093,0.091,0.019,0.04,0.047,0.048,0.02,0.038,0.047,0.045,0.01,0.02,0.024,0.023,0.012,0.018,0.024,0.023,0.006,0.01,0.011,0.012,0.005,0.009,0.012,0.011
LOSSOT,COL,2019020011,0.5708,0.287,0.141,0.072,0.037,0.031,92.7,0.153,0.028,0.059,0.061,0.149,0.149,0.042,0.073,0.089,0.083,0.036,0.069,0.096,0.083,0.018,0.031,0.046,0.046,0.017,0.037,0.047,0.044,0.01,0.019,0.021,0.022,0.008,0.018,0.02,0.024,0.005,0.01,0.011,0.01,0.004,0.008,0.011,0.012
WINOT,COL,2019020011,0.6023,0.301,0.154,0.078,0.037,0.042,93.6,0.172,0.025,0.061,0.061,0.159,0.15,0.042,0.075,0.09,0.094,0.04,0.078,0.089,0.094,0.018,0.037,0.051,0.048,0.018,0.039,0.045,0.046,0.008,0.022,0.023,0.024,0.008,0.019,0.028,0.021,0.005,0.009,0.011,0.01,0.004,0.01,0.013,0.013
LOSSREG,COL,2019020011,0.537,0.278,0.14,0.071,0.035,0.027,91.5,0.138,0.031,0.057,0.06,0.138,0.145,0.037,0.071,0.085,0.085,0.034,0.066,0.079,0.079,0.018,0.036,0.042,0.044,0.019,0.036,0.043,0.041,0.01,0.018,0.022,0.021,0.009,0.017,0.022,0.021,0.005,0.009,0.012,0.01,0.004,0.01,0.012,0.009
ALL,PIT,2019020007,0.5689,0.288,0.143,0.072,0.037,0.041,93.6,0.157,0.025,0.062,0.065,0.146,0.138,0.037,0.073,0.089,0.089,0.036,0.071,0.087,0.087,0.019,0.038,0.044,0.042,0.019,0.036,0.045,0.045,0.009,0.018,0.022,0.022,0.01,0.017,0.022,0.022,0.005,0.009,0.011,0.011,0.004,0.009,0.011,0.011
WINREG,PIT,2019020007,0.5876,0.297,0.147,0.074,0.039,0.046,94.2,0.166,0.024,0.063,0.067,0.152,0.14,0.039,0.074,0.092,0.093,0.039,0.074,0.089,0.089,0.018,0.039,0.045,0.045,0.02,0.037,0.048,0.045,0.01,0.019,0.024,0.022,0.01,0.018,0.022,0.023,0.005,0.01,0.012,0.012,0.005,0.009,0.011,0.011
LOSSOT,PIT,2019020007,0.5443,0.283,0.136,0.07,0.034,0.034,92.8,0.145,0.028,0.06,0.065,0.138,0.137,0.035,0.075,0.086,0.086,0.034,0.066,0.077,0.084,0.021,0.037,0.043,0.035,0.018,0.04,0.043,0.046,0.009,0.019,0.02,0.022,0.007,0.017,0.02,0.022,0.005,0.008,0.011,0.01,0.004,0.008,0.012,0.012
WINOT,PIT,2019020007,0.5929,0.297,0.147,0.073,0.039,0.045,94.3,0.173,0.024,0.063,0.066,0.151,0.14,0.036,0.08,0.088,0.092,0.037,0.072,0.093,0.095,0.019,0.035,0.048,0.045,0.02,0.037,0.042,0.05,0.009,0.019,0.025,0.02,0.011,0.017,0.027,0.02,0.006,0.009,0.014,0.011,0.004,0.008,0.011,0.011
LOSSREG,PIT,2019020007,0.5253,0.264,0.136,0.068,0.034,0.032,92.2,0.133,0.029,0.062,0.062,0.135,0.133,0.034,0.067,0.083,0.079,0.033,0.066,0.083,0.08,0.019,0.037,0.041,0.038,0.018,0.031,0.039,0.04,0.009,0.017,0.019,0.023,0.01,0.016,0.021,0.021,0.004,0.009,0.01,0.011,0.004,0.008,0.011,0.011
ALL,MIN,2019020009,0.5683,0.287,0.144,0.073,0.035,0.035,92.5,0.147,0.028,0.061,0.062,0.148,0.152,0.037,0.075,0.088,0.086,0.038,0.073,0.087,0.083,0.019,0.036,0.044,0.045,0.017,0.035,0.045,0.045,0.009,0.019,0.022,0.022,0.009,0.018,0.023,0.021,0.005,0.009,0.011,0.011,0.005,0.009,0.012,0.011
WINREG,MIN,2019020009,0.6032,0.306,0.155,0.078,0.038,0.042,93.5,0.164,0.025,0.061,0.063,0.159,0.156,0.04,0.08,0.093,0.094,0.04,0.078,0.092,0.086,0.021,0.039,0.05,0.046,0.018,0.037,0.049,0.046,0.009,0.02,0.024,0.025,0.01,0.019,0.025,0.023,0.006,0.01,0.011,0.012,0.005,0.01,0.012,0.012
LOSSOT,MIN,2019020009,0.5475,0.273,0.131,0.067,0.033,0.032,92.3,0.137,0.029,0.061,0.057,0.142,0.151,0.038,0.072,0.084,0.079,0.037,0.076,0.083,0.079,0.018,0.031,0.039,0.043,0.018,0.034,0.046,0.044,0.009,0.018,0.021,0.02,0.008,0.016,0.02,0.02,0.003,0.009,0.011,0.01,0.005,0.01,0.011,0.008
WINOT,MIN,2019020009,0.5888,0.295,0.15,0.076,0.038,0.038,93.2,0.159,0.026,0.059,0.064,0.153,0.154,0.035,0.082,0.092,0.086,0.038,0.074,0.092,0.089,0.018,0.041,0.042,0.049,0.015,0.037,0.042,0.051,0.009,0.019,0.023,0.025,0.01,0.021,0.022,0.021,0.006,0.008,0.013,0.011,0.005,0.009,0.013,0.012
LOSSREG,MIN,2019020009,0.5305,0.267,0.135,0.068,0.032,0.026,91.3,0.126,0.032,0.061,0.061,0.137,0.146,0.035,0.07,0.083,0.08,0.036,0.064,0.083,0.079,0.017,0.033,0.042,0.043,0.017,0.033,0.04,0.042,0.01,0.018,0.02,0.02,0.008,0.017,0.022,0.021,0.004,0.008,0.01,0.009,0.005,0.008,0.012,0.011
ALL,NYI,2019020014,0.5564,0.279,0.14,0.069,0.034,0.036,93.0,0.147,0.027,0.065,0.065,0.143,0.137,0.038,0.072,0.086,0.084,0.035,0.072,0.088,0.083,0.018,0.037,0.042,0.043,0.018,0.036,0.044,0.042,0.009,0.018,0.021,0.021,0.01,0.017,0.022,0.022,0.004,0.009,0.011,0.01,0.004,0.009,0.011,0.01
WINREG,NYI,2019020014,0.586,0.296,0.148,0.072,0.036,0.042,93.9,0.165,0.024,0.067,0.064,0.149,0.141,0.04,0.075,0.093,0.088,0.037,0.076,0.093,0.084,0.019,0.038,0.044,0.046,0.019,0.039,0.048,0.043,0.009,0.02,0.022,0.021,0.011,0.017,0.024,0.024,0.005,0.008,0.011,0.012,0.005,0.009,0.011,0.011
LOSSOT,NYI,2019020014,0.549,0.269,0.131,0.064,0.034,0.035,92.9,0.141,0.028,0.069,0.064,0.143,0.132,0.037,0.071,0.08,0.081,0.032,0.071,0.091,0.086,0.018,0.034,0.04,0.04,0.017,0.036,0.044,0.041,0.01,0.017,0.017,0.02,0.009,0.018,0.02,0.021,0.004,0.008,0.011,0.011,0.004,0.007,0.011,0.008
WINOT,NYI,2019020014,0.5733,0.282,0.139,0.065,0.029,0.041,93.5,0.153,0.026,0.061,0.065,0.156,0.139,0.038,0.074,0.084,0.086,0.04,0.076,0.089,0.087,0.016,0.033,0.045,0.044,0.02,0.038,0.041,0.044,0.009,0.018,0.017,0.022,0.009,0.017,0.025,0.023,0.003,0.009,0.009,0.009,0.004,0.011,0.011,0.01
LOSSREG,NYI,2019020014,0.5205,0.262,0.134,0.069,0.034,0.029,91.8,0.128,0.03,0.062,0.065,0.133,0.133,0.035,0.067,0.08,0.079,0.033,0.065,0.082,0.079,0.017,0.037,0.04,0.04,0.015,0.033,0.04,0.039,0.009,0.016,0.022,0.022,0.008,0.017,0.02,0.02,0.004,0.009,0.011,0.009,0.004,0.009,0.012,0.009
ALL,NSH,2019020009,0.544,0.273,0.136,0.068,0.034,0.028,91.7,0.135,0.031,0.061,0.061,0.14,0.147,0.035,0.071,0.085,0.082,0.034,0.07,0.084,0.082,0.018,0.036,0.041,0.041,0.019,0.035,0.043,0.041,0.009,0.017,0.02,0.021,0.009,0.018,0.021,0.021,0.005,0.008,0.01,0.012,0.004,0.009,0.01,0.01
WINREG,NSH,2019020009,0.57,0.286,0.143,0.071,0.036,0.033,92.5,0.149,0.028,0.063,0.059,0.147,0.152,0.036,0.075,0.09,0.085,0.035,0.074,0.084,0.091,0.019,0.04,0.041,0.043,0.02,0.037,0.043,0.042,0.01,0.018,0.021,0.022,0.01,0.019,0.022,0.021,0.006,0.007,0.011,0.012,0.005,0.009,0.011,0.01
LOSSOT,NSH,2019020009,0.5414,0.271,0.131,0.069,0.035,0.027,91.6,0.132,0.031,0.064,0.064,0.134,0.148,0.033,0.071,0.086,0.081,0.035,0.072,0.081,0.083,0.017,0.033,0.042,0.039,0.018,0.034,0.046,0.042,0.01,0.016,0.022,0.021,0.008,0.016,0.02,0.019,0.004,0.007,0.009,0.014,0.005,0.01,0.01,0.01
